Temperatura_Max,Temperatura_Min,Umidade_Max,Ventania,Precipitacao,Nuvem,Pressao
31.2,13.4,53.8,7.0,0.0,0.0,1014.8
31.2,13.4,71.5,7.3,0.0,0.0,1015.3
31.2,13.4,72.3,7.3,0.0,0.0,1015.5
31.2,13.4,69.0,6.8,0.0,0.0,1016.1
31.2,13.4,66.8,6.5,0.0,1.0,1016.7
31.2,13.4,66.2,6.2,0.0,1.0,1017.2
31.2,13.4,73.1,5.4,0.0,0.0,1017.5
31.2,13.4,76.0,5.2,0.0,0.0,1017.3
31.2,13.4,80.0,5.1,0.0,0.0,1016.8
31.2,13.4,82.7,4.9,0.0,0.0,1016.3
31.2,13.4,82.7,5.5,0.0,0.0,1015.8
31.2,13.4,84.7,6.3,0.0,0.0,1015.6
31.2,13.4,87.3,6.9,0.0,0.0,1016.1
31.2,13.4,87.3,7.4,0.0,0.0,1016.8
31.2,13.4,81.9,7.9,0.0,0.0,1017.6
31.2,14.2,68.3,8.4,0.0,0.0,1018.3
31.2,14.2,56.3,8.8,0.0,0.0,1018.6
31.2,14.2,44.3,8.8,0.0,0.0,1018.1
31.2,14.2,31.7,8.8,0.0,0.0,1017.4
31.4,14.2,24.0,7.7,0.0,0.0,1016.5
32.0,14.2,21.9,7.3,0.0,0.0,1015.3
32.0,14.1,24.6,6.0,0.0,0.0,1014.5
32.0,14.1,34.1,6.3,0.0,0.0,1013.8
32.0,14.1,46.1,8.6,0.0,0.0,1013.4
32.0,14.1,52.8,10.3,0.0,0.0,1013.6
32.0,14.1,59.9,10.3,0.0,0.0,1014.0
32.0,14.1,61.2,9.9,0.0,0.0,1015.0
32.0,14.1,67.2,8.4,0.0,0.0,1015.7
32.0,14.1,54.0,11.9,0.0,0.0,1016.1
32.0,14.1,49.3,13.8,0.0,0.0,1016.3
32.0,14.1,50.4,13.8,0.0,0.0,1016.2
32.0,14.1,53.3,13.0,0.0,0.0,1016.3
32.0,14.1,56.9,10.7,0.0,0.0,1015.5
32.0,14.1,61.9,9.0,0.0,0.0,1014.8
32.0,14.1,67.1,8.0,0.0,0.0,1014.4
32.0,14.1,71.5,8.6,0.0,0.0,1014.0
32.0,14.1,75.5,8.7,0.0,0.0,1014.2
31.9,14.1,77.6,8.8,0.0,0.0,1014.9
31.9,14.3,71.0,9.6,0.0,0.0,1015.4
31.9,14.3,58.3,9.6,0.0,0.0,1015.9
31.9,14.3,49.7,9.5,0.0,0.0,1017.0
31.9,14.3,52.9,8.9,0.0,0.0,1017.2
31.9,14.3,56.2,8.7,0.0,0.0,1017.4
31.9,14.3,59.7,9.9,0.0,0.0,1017.5
31.9,14.3,63.1,10.2,0.0,3.0,1017.2
31.7,14.4,66.6,10.7,0.0,5.0,1016.9
30.4,14.5,70.3,11.3,0.0,7.0,1016.5
28.3,14.6,76.5,11.3,0.0,7.0,1017.3
25.9,14.7,83.3,10.3,0.0,8.0,1018.0
24.6,14.7,91.0,10.1,0.0,8.0,1018.7
24.6,14.7,90.1,10.2,0.0,8.0,1019.5
24.6,14.7,89.2,10.3,0.0,8.0,1020.3
24.6,14.7,88.3,10.3,0.0,8.0,1021.1
24.6,14.7,89.3,10.5,0.0,8.0,1021.1
24.6,14.4,90.3,10.7,0.0,8.0,1021.0
24.7,14.2,91.4,10.9,0.0,8.0,1021.0
24.7,14.1,90.9,10.9,0.0,8.0,1020.6
24.7,13.9,90.4,10.4,0.0,8.0,1020.3
24.7,13.8,89.9,9.9,0.0,8.0,1020.0
24.7,13.8,90.5,9.4,0.0,8.0,1020.1
24.7,13.7,91.1,9.1,0.0,8.0,1020.2
24.7,13.7,91.7,8.9,0.0,8.0,1020.4
24.7,13.7,88.9,8.6,0.0,8.0,1020.9
24.7,13.7,86.2,8.1,0.0,8.0,1021.5
24.7,13.7,83.6,7.6,0.0,8.0,1022.0
24.7,13.7,78.8,7.4,0.0,8.0,1021.4
24.7,13.7,74.3,6.8,0.0,8.0,1020.7
24.7,13.7,70.1,6.6,0.0,8.0,1020.1
24.0,13.7,72.0,6.6,0.0,8.0,1019.4
23.2,13.7,74.0,7.0,0.0,8.0,1018.7
22.6,13.8,75.9,7.4,0.0,7.0,1018.0
20.6,13.9,80.9,7.4,0.0,8.0,1018.3
19.4,13.9,86.3,7.7,0.0,8.0,1018.7
19.4,13.9,92.1,7.9,0.0,8.0,1019.0
19.4,13.9,94.1,7.9,0.0,8.0,1019.3
19.4,13.9,95.8,7.6,0.0,8.0,1019.6
19.4,13.9,98.1,7.4,0.0,8.0,1020.0
19.4,13.9,97.5,7.1,0.0,8.0,1019.8
19.4,13.9,97.0,7.0,0.0,8.0,1019.6
19.4,13.9,96.6,6.9,0.0,8.0,1019.4
19.4,13.9,96.2,6.8,0.0,8.0,1018.8
19.4,13.9,96.4,6.5,0.0,8.0,1018.2
19.4,13.9,96.3,6.1,0.0,8.0,1017.6
19.4,13.9,96.5,5.9,0.0,8.0,1017.9
19.4,13.9,96.4,6.3,0.0,8.0,1018.2
19.4,13.9,96.9,6.6,0.0,8.0,1018.6
19.4,14.5,90.7,6.6,0.0,6.0,1019.1
19.4,14.8,85.1,5.9,0.0,3.0,1019.6
19.4,14.8,79.9,5.3,0.0,1.0,1020.0
22.2,14.8,69.8,4.9,0.0,1.0,1019.3
25.0,14.6,61.2,3.7,0.0,0.0,1018.5
27.7,14.5,53.8,2.0,0.0,0.0,1017.7
28.9,14.4,48.0,2.4,0.0,1.0,1016.6
30.1,14.3,42.9,3.6,0.0,2.0,1015.4
31.3,14.2,38.3,4.0,0.0,3.0,1014.3
31.4,14.2,48.8,4.4,0.0,3.0,1014.7
31.4,14.2,62.3,4.8,0.0,3.0,1015.1
31.4,14.2,79.7,5.3,0.0,3.0,1015.5
31.4,14.2,83.8,5.3,0.0,2.0,1016.2
31.4,14.2,88.2,4.5,0.0,1.0,1017.1
31.4,14.2,92.9,3.8,0.0,0.0,1017.9
31.4,14.5,93.2,4.0,0.0,0.0,1018.0
31.4,14.7,93.4,5.0,0.0,0.0,1018.1
31.4,14.8,93.7,6.0,0.0,0.0,1018.2
31.4,14.8,93.5,6.0,0.0,0.0,1017.9
31.4,14.8,93.4,5.8,0.0,0.0,1017.6
31.4,14.8,93.2,5.6,0.0,0.0,1017.3
31.4,14.8,93.3,5.5,0.0,0.0,1017.8
31.4,14.8,93.3,5.5,0.0,0.0,1018.2
31.3,14.8,93.4,5.6,0.0,0.0,1018.7
31.3,15.5,82.1,5.6,0.0,0.0,1019.2
31.3,15.5,72.3,5.2,0.0,0.0,1019.8
31.3,15.5,63.9,4.7,0.0,0.0,1020.3
31.3,15.5,48.3,4.1,0.0,0.0,1019.5
31.3,15.5,36.5,2.4,0.0,0.0,1018.6
33.0,15.5,27.7,1.2,0.0,0.0,1017.8
33.2,15.4,25.2,1.6,0.0,0.0,1017.1
33.6,15.4,22.9,2.4,0.0,0.0,1016.3
34.0,15.4,20.8,3.2,0.0,0.0,1015.6
34.1,15.4,28.8,4.1,0.0,0.0,1015.9
34.1,15.4,39.8,5.3,0.0,0.0,1016.2
34.1,15.4,54.8,6.6,0.0,0.0,1016.5
34.1,15.4,55.3,6.6,0.0,0.0,1016.9
34.1,15.4,55.9,6.0,0.0,0.0,1017.3
34.1,15.4,56.4,6.0,0.0,0.0,1017.8
34.1,15.4,58.0,6.0,0.0,0.0,1017.9
34.1,15.4,59.7,6.0,0.0,0.0,1018.0
34.1,15.4,61.4,6.1,0.0,0.0,1018.0
34.1,15.4,61.7,6.1,0.0,0.0,1017.7
34.1,15.4,62.0,5.9,0.0,0.0,1017.3
34.1,15.4,62.4,5.7,0.0,0.0,1016.9
34.1,15.4,65.1,5.5,0.0,0.0,1017.2
34.1,15.4,67.9,5.3,0.0,0.0,1017.5
34.0,15.3,70.9,5.2,0.0,0.0,1017.9
34.0,15.2,61.9,5.2,0.0,0.0,1018.3
34.0,15.2,54.3,5.1,0.0,0.0,1018.8
34.0,15.2,47.8,5.1,0.0,0.0,1019.2
34.0,15.2,41.1,5.0,0.0,0.0,1018.4
34.0,15.2,35.4,5.0,0.0,0.0,1017.6
34.0,15.2,30.4,4.7,0.0,0.0,1016.8
34.0,15.2,26.2,4.5,0.0,0.0,1016.0
34.0,15.2,22.6,4.2,0.0,0.0,1015.2
34.0,15.2,19.5,4.4,0.0,0.0,1014.3
33.7,15.2,22.8,4.4,0.0,0.0,1014.7
33.7,15.2,26.8,4.7,0.0,0.0,1015.0
33.7,15.2,31.5,5.2,0.0,0.0,1015.4
33.7,15.2,37.1,5.7,0.0,0.0,1015.6
33.7,15.2,43.7,6.1,0.0,0.0,1016.0
33.7,15.2,51.5,6.6,0.0,0.0,1016.4
33.7,15.2,53.4,6.6,0.0,0.0,1016.2
33.7,15.2,55.4,6.3,0.0,0.0,1016.0
33.7,15.2,57.5,6.0,0.0,0.0,1015.8
33.7,15.2,59.6,5.7,0.0,0.0,1015.6
33.7,15.2,61.9,5.4,0.0,0.0,1015.4
33.7,15.0,64.3,5.1,0.0,0.0,1015.2
33.7,15.0,58.9,5.0,0.0,0.0,1015.5
33.7,15.0,54.1,5.2,0.0,0.0,1015.8
33.7,15.0,49.7,5.4,0.0,0.0,1016.1
33.7,15.0,45.7,5.7,0.0,0.0,1016.5
33.7,15.0,42.0,5.9,0.0,0.0,1016.8
33.7,15.0,38.7,5.9,0.0,0.0,1017.1
33.7,15.0,32.5,5.9,0.0,0.0,1016.0
33.7,15.0,27.3,5.2,0.0,0.0,1015.0
33.7,15.0,22.9,4.5,0.0,0.0,1013.9
33.7,15.0,19.3,3.7,0.0,0.0,1012.9
33.7,15.0,16.2,2.9,0.0,0.0,1011.8
35.4,14.9,13.6,2.1,0.0,1.0,1010.8
35.4,14.9,18.3,1.9,0.0,1.0,1011.1
35.4,14.9,24.5,2.2,0.0,0.0,1011.4
31.7,13.0,45.4,7.3,0.0,0.0,1014.6
31.7,13.0,66.9,7.3,0.0,0.0,1015.2
31.7,13.0,73.0,7.2,0.0,0.0,1015.6
31.7,13.0,71.2,6.7,0.0,0.0,1016.2
