Temperatura_Max,Temperatura_Min,Umidade_Max,Ventania,Precipitacao,Nuvem,Pressao
33.0,14.2,45.6,7.6,0.0,0.0,1014.8
33.0,14.2,60.3,7.6,0.0,0.0,1015.3
33.0,14.2,67.6,6.5,0.0,0.0,1015.7
33.0,14.2,66.5,6.5,0.0,0.0,1016.5
33.0,14.2,65.7,6.3,0.0,0.0,1017.1
33.0,14.2,68.6,5.3,0.0,0.0,1017.5
33.0,14.2,70.9,5.5,0.0,0.0,1017.5
33.0,14.2,71.3,5.5,0.0,0.0,1017.3
33.0,14.2,75.7,5.4,0.0,0.0,1016.7
33.0,14.2,79.9,5.5,0.0,0.0,1016.2
33.0,14.2,82.9,6.1,0.0,0.0,1015.8
33.0,14.3,85.2,6.5,0.0,0.0,1015.6
33.0,14.3,84.1,7.3,0.0,0.0,1016.0
33.0,14.3,79.8,7.9,0.0,0.0,1016.5
32.9,14.8,71.1,8.4,0.0,0.0,1017.3
32.9,16.1,57.2,8.7,0.0,0.0,1018.0
32.9,16.6,46.0,8.8,0.0,0.0,1018.3
32.9,16.6,33.6,8.8,0.0,0.0,1017.8
32.9,16.6,23.4,7.7,0.0,0.0,1017.1
32.9,16.6,19.7,7.2,0.0,0.0,1016.2
32.9,16.6,17.9,6.5,0.0,0.0,1015.0
33.2,16.6,17.2,5.9,0.0,0.0,1014.1
33.3,16.6,17.6,5.7,0.0,0.0,1013.0
33.3,16.6,19.2,5.7,0.0,0.0,1012.4
33.3,16.6,37.2,7.6,0.0,0.0,1013.2
33.3,16.6,45.9,10.6,0.0,0.0,1014.1
33.3,16.6,51.0,10.6,0.0,0.0,1015.0
33.3,16.6,53.4,9.8,0.0,0.0,1015.6
33.3,16.6,46.0,12.6,0.0,0.0,1016.0
33.3,16.6,44.0,13.5,0.0,0.0,1016.2
33.3,16.6,46.3,13.5,0.0,0.0,1016.2
33.3,16.6,50.9,11.7,0.0,0.0,1016.4
33.3,16.6,55.7,8.4,0.0,0.0,1015.5
33.3,16.6,61.0,7.4,0.0,0.0,1014.8
33.3,16.6,64.9,7.6,0.0,0.0,1014.3
33.3,16.6,67.7,7.8,0.0,0.0,1014.1
33.3,16.5,68.9,8.3,0.0,0.0,1014.2
33.3,16.4,67.4,9.0,0.0,0.0,1014.7
33.3,16.3,57.8,9.2,0.0,0.0,1015.2
33.3,16.3,48.6,9.2,0.0,0.0,1015.8
33.3,16.3,41.7,8.3,0.0,0.0,1016.1
33.3,16.3,44.6,6.8,0.0,0.0,1016.4
33.3,16.3,47.6,7.0,0.0,0.0,1016.7
33.3,16.3,50.8,9.2,0.0,0.0,1016.9
33.3,16.3,54.4,9.6,0.0,1.0,1016.6
33.3,16.3,58.3,10.3,0.0,2.0,1016.3
33.3,16.3,62.4,11.2,0.0,3.0,1015.9
32.9,16.5,69.8,11.2,0.0,5.0,1016.8
29.6,16.6,78.2,10.2,0.0,6.0,1017.7
26.6,16.5,87.8,9.5,0.0,8.0,1018.6
26.6,16.2,87.2,9.3,0.0,8.0,1019.4
26.6,15.8,86.6,9.3,0.0,8.0,1020.2
26.6,15.3,86.0,9.4,0.0,8.0,1021.0
26.6,15.0,87.1,9.6,0.0,8.0,1021.0
26.7,14.7,88.3,9.8,0.0,8.0,1021.0
26.7,14.4,89.4,10.1,0.0,8.0,1021.0
26.7,14.3,89.4,10.1,0.0,8.0,1020.6
26.7,14.2,89.3,9.9,0.0,8.0,1020.2
26.7,14.1,89.3,9.7,0.0,8.0,1019.9
26.7,14.0,89.5,9.5,0.0,8.0,1020.0
26.7,14.0,89.7,9.2,0.0,8.0,1020.2
26.7,13.9,89.9,8.9,0.0,8.0,1020.3
26.7,13.9,86.6,8.6,0.0,8.0,1020.8
26.7,13.9,83.4,8.2,0.0,8.0,1021.3
26.7,13.9,80.3,8.0,0.0,8.0,1021.8
26.7,13.9,73.5,7.9,0.0,7.0,1021.0
26.7,13.9,67.4,7.2,0.0,6.0,1020.3
26.7,13.9,61.9,6.9,0.0,5.0,1019.5
25.9,14.0,62.7,6.8,0.0,5.0,1018.7
25.0,14.0,63.6,7.1,0.0,4.0,1017.9
24.2,14.1,64.5,7.4,0.0,3.0,1017.1
21.9,14.1,71.1,7.4,0.0,4.0,1017.7
21.7,14.1,78.5,7.4,0.0,6.0,1018.2
21.7,14.1,86.7,7.4,0.0,7.0,1018.8
21.7,14.1,89.3,7.4,0.0,8.0,1019.1
21.7,14.1,92.0,7.2,0.0,8.0,1019.5
21.7,14.1,94.1,6.9,0.0,8.0,1019.9
21.7,14.1,94.3,6.7,0.0,8.0,1019.7
21.7,14.1,94.0,6.7,0.0,8.0,1019.5
21.7,14.1,93.6,6.7,0.0,8.0,1019.3
21.7,14.1,94.0,6.7,0.0,8.0,1018.7
21.7,14.1,94.3,6.3,0.0,8.0,1018.1
21.7,14.1,94.7,5.9,0.0,8.0,1017.4
21.7,14.1,95.4,6.1,0.0,8.0,1017.8
21.7,14.1,93.8,6.2,0.0,8.0,1018.1
21.7,14.1,96.7,6.2,0.0,8.0,1018.5
21.7,14.8,88.1,6.0,0.0,5.0,1018.9
21.7,15.2,80.3,5.5,0.0,3.0,1019.3
21.7,15.2,73.2,5.0,0.0,0.0,1019.8
23.9,15.2,62.2,4.8,0.0,0.0,1018.9
26.9,15.1,53.0,3.3,0.0,0.0,1018.0
30.0,15.0,45.3,1.6,0.0,0.0,1017.1
31.0,14.8,39.6,2.0,0.0,1.0,1016.0
32.1,14.8,34.6,2.8,0.0,1.0,1014.9
33.3,14.7,30.2,3.6,0.0,2.0,1013.8
33.3,14.7,38.9,3.8,0.0,1.0,1014.3
33.3,14.7,50.0,4.3,0.0,1.0,1014.9
33.3,14.7,64.1,5.2,0.0,1.0,1015.5
33.3,14.7,72.2,5.2,0.0,0.0,1016.2
33.3,14.7,81.4,4.7,0.0,0.0,1017.0
33.3,14.7,91.7,4.3,0.0,0.0,1017.8
33.3,15.0,93.2,4.8,0.0,0.0,1017.9
33.3,15.1,94.8,5.8,0.0,0.0,1018.1
33.3,15.1,96.3,6.8,0.0,0.0,1018.2
33.3,15.1,94.0,6.8,0.0,0.0,1017.9
33.3,15.1,91.8,6.5,0.0,0.0,1017.5
33.3,15.1,89.5,6.2,0.0,0.0,1017.1
33.3,15.1,91.1,5.9,0.0,0.0,1017.5
33.3,15.1,92.7,5.6,0.0,0.0,1018.0
33.2,15.1,94.4,5.4,0.0,0.0,1018.4
33.2,16.4,77.2,5.1,0.0,0.0,1019.0
33.2,16.4,63.2,4.8,0.0,0.0,1019.5
33.2,16.4,52.1,4.2,0.0,0.0,1020.1
33.2,16.4,38.5,2.2,0.0,0.0,1019.3
33.2,16.4,28.5,1.7,0.0,0.0,1018.5
34.1,16.4,21.0,1.3,0.0,0.0,1017.6
34.3,16.3,20.0,2.5,0.0,0.0,1016.9
34.5,16.3,19.1,3.7,0.0,0.0,1016.2
34.7,16.3,18.2,5.0,0.0,0.0,1015.5
34.8,16.3,24.5,5.3,0.0,0.0,1015.8
34.8,16.3,32.8,6.1,0.0,0.0,1016.1
34.8,16.3,43.5,6.8,0.0,0.0,1016.4
34.8,16.3,49.1,6.8,0.0,0.0,1017.0
34.8,16.3,55.3,6.3,0.0,0.0,1017.5
34.8,16.3,62.4,6.2,0.0,0.0,1018.1
34.8,16.3,58.6,6.4,0.0,0.0,1018.1
34.8,16.3,54.9,6.7,0.0,0.0,1018.1
34.8,16.3,51.5,7.0,0.0,0.0,1018.1
34.8,16.3,52.7,7.0,0.0,0.0,1017.7
34.8,16.3,53.9,6.6,0.0,0.0,1017.3
34.8,16.3,55.3,6.3,0.0,0.0,1016.9
34.8,16.3,59.6,5.9,0.0,0.0,1017.2
34.8,16.3,64.3,5.6,0.0,0.0,1017.4
34.8,16.3,69.3,5.3,0.0,0.0,1017.7
34.8,16.7,57.1,5.1,0.0,0.0,1018.1
34.8,16.7,47.2,5.2,0.0,0.0,1018.6
34.8,16.7,39.2,5.2,0.0,0.0,1019.0
34.8,16.7,33.2,5.2,0.0,0.0,1018.2
34.8,16.7,28.1,5.2,0.0,0.0,1017.4
34.8,16.7,23.7,5.0,0.0,0.0,1016.5
34.8,16.7,20.0,4.9,0.0,0.0,1015.7
34.8,16.7,16.9,4.7,0.0,0.0,1014.8
35.0,16.7,14.2,5.0,0.0,0.0,1014.0
35.0,16.7,17.7,5.0,0.0,0.0,1014.4
35.0,16.7,21.8,5.1,0.0,0.0,1014.8
35.0,16.7,26.8,5.5,0.0,0.0,1015.3
35.0,16.7,32.9,5.8,0.0,0.0,1015.7
35.0,16.7,40.2,6.1,0.0,0.0,1016.1
35.0,16.7,49.0,6.5,0.0,0.0,1016.6
35.0,16.7,49.2,6.5,0.0,0.0,1016.3
35.0,16.7,49.4,6.2,0.0,0.0,1016.1
35.0,16.7,49.6,6.0,0.0,0.0,1015.8
35.0,16.7,49.8,5.7,0.0,0.0,1015.6
35.0,16.7,50.1,5.5,0.0,0.0,1015.3
35.0,16.7,50.4,5.2,0.0,0.0,1015.0
35.0,16.7,46.8,5.1,0.0,0.0,1015.3
35.0,16.7,43.4,5.3,0.0,0.0,1015.6
35.0,16.7,40.4,5.4,0.0,0.0,1015.9
35.0,16.8,37.6,5.5,0.0,0.0,1016.2
35.0,16.8,35.1,5.7,0.0,0.0,1016.5
35.0,16.8,32.8,5.8,0.0,0.0,1016.8
35.0,16.8,27.6,5.8,0.0,0.0,1015.8
35.0,16.8,23.2,5.2,0.0,0.0,1014.8
35.0,16.8,19.5,4.5,0.0,0.0,1013.7
35.0,16.8,16.4,3.8,0.0,0.0,1012.7
35.0,16.8,13.8,3.2,0.0,0.0,1011.7
36.3,16.8,11.5,2.5,0.0,0.0,1010.6
36.3,16.8,14.6,2.4,0.0,0.0,1011.0
36.3,16.8,18.2,2.7,0.0,0.0,1011.4
33.3,13.9,39.8,7.6,0.0,0.0,1014.6
33.3,13.9,53.0,7.6,0.0,0.0,1015.2
33.3,13.9,66.9,7.0,0.0,0.0,1015.7
33.3,13.9,68.2,7.0,0.0,0.0,1016.5
33.3,13.9,68.4,6.7,0.0,0.0,1017.2
33.3,13.9,69.2,5.2,0.0,0.0,1017.5
33.3,13.9,65.7,5.4,0.0,0.0,1017.5
33.3,13.9,65.8,5.4,0.0,0.0,1017.3
33.3,13.9,68.9,5.4,0.0,0.0,1016.7
33.3,13.9,72.2,5.4,0.0,0.0,1016.2
33.3,13.9,77.6,6.1,0.0,0.0,1015.8
33.3,14.1,83.7,6.5,0.0,0.0,1015.5
33.3,14.2,84.2,7.1,0.0,0.0,1015.9
33.3,14.2,81.0,7.8,0.0,0.0,1016.5
33.3,14.5,70.3,8.1,0.0,0.0,1017.3
33.3,15.7,54.7,8.4,0.0,0.0,1018.0
33.3,15.7,42.5,8.5,0.0,0.0,1018.2
33.3,15.7,30.2,8.5,0.0,0.0,1017.6
33.3,15.7,20.1,6.5,0.0,0.0,1016.9
33.3,15.7,17.2,6.3,0.0,0.0,1016.0
33.5,15.7,16.1,5.5,0.0,0.0,1014.7
33.8,15.7,15.8,5.1,0.0,0.0,1013.8
33.9,15.6,15.8,5.0,0.0,0.0,1012.7
34.0,15.6,17.6,4.9,0.0,0.0,1012.2
34.0,15.6,35.2,7.2,0.0,0.0,1013.0
34.0,15.6,45.8,10.7,0.0,0.0,1014.0
34.0,15.6,48.8,10.7,0.0,0.0,1015.0
34.0,15.6,54.4,9.3,0.0,0.0,1015.5
34.0,15.6,50.2,11.0,0.0,0.0,1016.0
34.0,15.6,44.4,12.1,0.0,0.0,1016.2
34.0,15.6,46.3,12.1,0.0,0.0,1016.3
34.0,15.6,51.0,10.5,0.0,1.0,1016.4
34.0,15.6,55.2,7.6,0.0,0.0,1015.4
34.0,15.6,60.7,7.2,0.0,0.0,1014.7
34.0,15.6,63.5,7.6,0.0,0.0,1014.3
34.0,15.6,64.7,8.1,0.0,0.0,1014.0
34.0,15.6,63.7,8.6,0.0,0.0,1014.2
33.9,15.6,61.4,9.4,0.0,0.0,1014.8
33.9,16.0,52.1,9.8,0.0,0.0,1015.1
33.9,16.0,44.9,9.8,0.0,0.0,1015.8
33.9,16.0,39.3,8.5,0.0,0.0,1016.1
33.9,16.0,42.2,6.5,0.0,0.0,1016.3
33.9,16.0,45.2,6.7,0.0,0.0,1016.5
33.9,16.0,48.5,8.3,0.0,0.0,1016.7
33.9,16.0,52.2,9.3,0.0,1.0,1016.4
33.9,16.0,56.2,10.2,0.0,2.0,1016.0
33.9,16.0,60.5,11.5,0.0,3.0,1015.7
33.3,16.2,68.0,11.5,0.0,5.0,1016.6
29.7,16.3,76.8,10.6,0.0,6.0,1017.5
27.1,16.3,86.8,9.9,0.0,8.0,1018.5
27.1,16.1,86.4,9.8,0.0,8.0,1019.3
27.1,15.6,86.0,9.7,0.0,8.0,1020.1
27.1,15.2,85.6,9.7,0.0,8.0,1021.0
27.1,14.8,86.8,9.9,0.0,8.0,1021.0
27.2,14.5,88.0,10.2,0.0,8.0,1021.0
27.2,14.2,89.2,10.4,0.0,8.0,1020.9
27.2,14.1,89.0,10.4,0.0,8.0,1020.6
