Temperatura_Max,Temperatura_Min,Umidade_Max,Ventania,Precipitacao,Nuvem,Pressao
25.3,13.4,80.8,6.0,0.0,0.0,1015.7
25.3,13.4,79.4,3.4,0.0,0.0,1015.4
25.3,13.4,69.1,4.2,0.0,0.0,1015.3
25.3,13.4,59.1,4.2,0.0,2.0,1016.0
25.3,13.4,55.9,4.6,0.0,5.0,1016.5
25.3,13.4,42.9,4.6,0.0,2.0,1016.6
25.3,13.4,38.2,4.9,0.0,0.0,1016.6
25.3,13.4,52.2,4.9,0.0,0.0,1016.4
25.3,13.4,56.0,4.7,0.0,0.0,1016.0
25.3,13.4,56.0,4.6,0.0,0.0,1015.5
25.3,13.4,57.1,4.9,0.0,0.0,1015.0
25.2,13.7,59.8,5.4,0.0,0.0,1014.8
25.2,13.9,60.7,5.7,0.0,0.0,1015.1
25.2,14.0,59.7,6.1,0.0,0.0,1015.7
25.1,14.5,56.6,6.3,0.0,0.0,1016.4
25.1,16.3,53.7,6.4,0.0,0.0,1017.2
25.7,16.8,50.8,6.7,0.0,0.0,1017.7
27.8,16.8,44.2,6.7,0.0,0.0,1017.9
27.8,16.7,57.4,6.6,0.0,0.0,1018.0
27.8,16.7,69.1,6.6,0.0,0.0,1017.9
27.8,16.7,69.4,6.4,0.0,0.0,1017.1
27.8,16.7,68.7,5.8,0.0,0.0,1016.6
27.8,16.7,63.1,5.9,0.0,0.0,1015.5
27.8,16.7,67.1,7.9,0.0,0.0,1015.1
27.8,16.7,68.3,8.6,0.0,0.0,1015.1
27.8,16.7,73.5,8.9,0.0,0.0,1014.9
27.8,16.7,73.8,8.9,0.0,0.0,1015.0
27.8,16.7,68.2,8.2,0.0,0.0,1015.5
27.8,16.7,63.4,9.6,0.0,0.0,1015.6
27.8,16.7,47.8,12.8,0.0,0.0,1015.7
27.8,16.7,46.6,13.0,0.0,0.0,1015.4
27.8,16.7,46.5,13.0,0.0,0.0,1015.1
27.8,16.7,49.6,11.1,0.0,0.0,1014.3
27.8,16.7,51.0,11.0,0.0,0.0,1013.2
27.8,16.7,51.8,10.5,0.0,0.0,1012.7
27.8,16.7,51.2,12.1,0.0,0.0,1012.3
27.8,16.7,49.0,13.1,0.0,0.0,1012.3
27.8,16.9,51.2,13.1,0.0,0.0,1013.4
27.8,17.4,60.3,12.4,0.0,0.0,1014.8
27.8,17.4,63.1,10.7,0.0,1.0,1016.8
27.8,17.4,67.9,8.2,0.0,3.0,1018.4
27.7,17.4,71.3,8.2,0.0,4.0,1018.5
26.4,17.5,74.7,7.4,0.0,4.0,1018.6
25.4,17.5,78.3,6.7,0.0,4.0,1018.7
24.6,17.6,83.6,6.8,0.18,5.0,1018.5
24.2,17.6,89.6,8.0,0.36,7.0,1018.4
24.2,16.3,96.0,9.5,0.54,8.0,1018.2
23.0,15.6,96.9,9.5,0.94,8.0,1018.6
21.4,14.8,97.7,9.4,1.35,8.0,1019.0
21.3,14.0,98.7,9.3,1.76,8.0,1019.4
21.4,13.6,99.0,9.5,2.37,8.0,1020.0
21.4,13.4,98.9,9.8,2.98,8.0,1020.8
21.4,13.1,98.9,10.1,3.6,8.0,1021.6
21.4,13.0,99.3,10.1,4.42,8.0,1021.5
21.4,12.9,99.7,9.8,5.24,8.0,1021.5
21.4,12.9,100.0,9.4,6.05,8.0,1021.4
21.1,12.7,100.0,9.1,6.61,8.0,1021.1
21.1,12.5,100.0,8.2,7.16,8.0,1020.8
21.1,12.4,100.0,7.4,7.71,8.0,1020.4
21.1,12.3,100.0,6.5,8.07,8.0,1020.5
21.1,12.3,100.0,6.4,8.43,8.0,1020.7
21.1,12.3,100.0,6.4,8.8,8.0,1020.8
21.1,12.3,98.1,6.4,9.07,8.0,1021.4
21.1,12.3,97.8,6.1,9.34,8.0,1022.0
21.1,12.3,94.9,5.8,9.61,8.0,1022.5
21.1,12.3,91.7,5.6,9.86,8.0,1022.1
